iteration,plants,herbivores,carnivores,herb_avg_age,herb_avg_gen,herb_avg_energy,carn_avg_age,carn_avg_gen,carn_avg_energy
1,15000,6000,20,0.50,1.50,35.17,0.50,1.50,34.50
2,15000,6000,20,1.50,1.50,35.32,1.50,1.50,33.50
3,15000,6000,20,2.50,1.50,35.07,2.50,1.50,32.50
4,15000,6000,20,3.50,1.50,34.53,3.50,1.50,31.50
5,15000,6000,20,4.50,1.50,34.01,4.50,1.50,30.50
6,15000,5999,20,5.50,1.50,33.50,5.50,1.50,33.00
7,15000,6525,20,5.97,1.58,30.21,6.50,1.50,32.00
8,15000,6525,20,6.97,1.58,29.84,7.50,1.50,31.00
9,15000,6525,20,7.97,1.58,29.52,8.50,1.50,30.00
10,15000,6524,20,8.97,1.58,29.03,9.50,1.50,29.00
11,15000,6523,20,9.97,1.58,28.50,10.50,1.50,28.00
12,15000,6523,20,10.97,1.58,27.98,11.50,1.50,27.00
13,15000,6521,20,11.97,1.58,27.42,12.50,1.50,26.00
14,15000,6519,20,12.97,1.58,26.89,13.50,1.50,25.00
15,15000,6516,20,13.97,1.58,26.27,14.50,1.50,24.00
16,15000,6515,20,14.97,1.58,25.72,15.50,1.50,23.00
17,15000,6514,20,15.97,1.58,25.25,16.50,1.50,22.00
18,15000,6512,20,16.97,1.58,24.72,17.50,1.50,21.00
19,15000,6510,20,17.97,1.58,24.18,18.50,1.50,24.10
20,15000,6507,20,18.97,1.58,23.56,19.50,1.50,23.15
21,15000,6506,20,19.97,1.58,22.90,20.50,1.50,22.90
22,15000,6506,20,20.97,1.58,22.23,21.50,1.50,21.90
23,15000,6506,20,21.97,1.58,21.64,22.50,1.50,20.90
24,15000,6506,20,22.97,1.58,20.98,23.50,1.50,19.90
25,15000,6504,20,23.97,1.58,20.32,24.50,1.50,18.90
26,15000,6504,20,24.97,1.58,19.66,25.50,1.50,17.90
27,15000,6502,20,25.97,1.58,18.99,26.50,1.50,21.40
28,15000,6500,20,26.97,1.58,18.33,27.50,1.50,24.95
29,15000,6500,20,27.97,1.58,17.69,28.50,1.50,23.95
30,15000,6499,20,28.97,1.58,16.97,29.50,1.50,22.95
31,15000,6497,20,29.97,1.58,16.32,30.50,1.50,31.45
32,15000,6496,20,30.97,1.58,15.63,31.50,1.50,30.45
33,15000,6495,20,31.97,1.58,14.95,32.50,1.50,29.45
34,15000,6493,20,32.97,1.58,14.25,33.50,1.50,28.45
35,15000,4306,14,33.96,1.37,20.51,34.71,1.29,46.29
36,15000,2849,14,25.04,1.99,30.18,17.71,2.07,45.36
37,15000,2964,14,25.03,2.04,29.53,18.71,2.07,44.36
38,15000,2968,14,25.05,2.05,29.71,19.71,2.07,43.36
39,15000,2733,14,24.33,2.12,32.09,20.71,2.07,42.36
40,15000,2820,14,24.55,2.16,31.23,21.71,2.07,41.36
41,15000,2890,14,24.93,2.18,30.36,22.71,2.07,40.36
42,15000,2960,14,25.31,2.21,29.53,23.71,2.07,39.36
43,15000,3050,14,25.52,2.24,28.78,24.71,2.07,38.36
